n=8,mean=4.982545e-05,std=5.506744841555681e-07,median=4.990515e-05,min=4.90472e-05,max=5.08067e-05
4.994170000000000331e-05,4.812080000000000182e-05
5.004530000000000008e-05,4.994170000000000331e-05
5.080670000000000265e-05,5.004530000000000008e-05
5.021890000000000127e-05,5.179909999999999674e-05
4.986859999999999888e-05,5.080670000000000265e-05
4.904720000000000027e-05,5.021890000000000127e-05
4.962300000000000245e-05,4.986859999999999888e-05
4.905219999999999768e-05,4.904720000000000027e-05
nan,4.962300000000000245e-05
nan,4.905219999999999768e-05
